"Role","Company","Title","Location","Link","Date Posted","Added At"
"Backend Developer","Multiplier AI","Full Stack Developer Intern","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/full-stack-developer-intern-at-multiplier-ai-4447525184?position=34&pageNum=0&refId=t4VuF%2BzITiMY4RXga%2Fhe%2FA%3D%3D&trackingId=Bh1xKeGW%2BJHRCoLkctsk%2BA%3D%3D)","2026-07-31","2026-07-31 11:12 PM IST"
"Backend Developer","Upthrust Inc.","Software Developer - React, Next.js, Webflow & AI Automation Intern","Gurugram, Haryana, India","[Apply](https://in.linkedin.com/jobs/view/software-developer-react-next-js-webflow-ai-automation-intern-at-upthrust-inc-4438795643?position=24&pageNum=0&refId=t4VuF%2BzITiMY4RXga%2Fhe%2FA%3D%3D&trackingId=RlvQ7NVqOkbkHrjQPWi0oA%3D%3D)","2026-07-17","2026-07-31 11:12 PM IST"
