"Role","Company","Title","Location","Link","Date Posted","Added At"
"Software Engineer","Monotype","Software Engineer Trainee","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/software-engineer-trainee-at-monotype-4443810802?position=2&pageNum=0&refId=sGXg9Mn9WPWZwQG48omudQ%3D%3D&trackingId=qrtubvydrVIeLpx1Wv22Mw%3D%3D)","2026-07-23","2026-07-28 10:13 PM IST"
"Software Engineer","Samin TekMindz","Fresher's Hiring","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/fresher-s-hiring-at-samin-tekmindz-4438371227?position=15&pageNum=0&refId=sGXg9Mn9WPWZwQG48omudQ%3D%3D&trackingId=asVw%2BdEo24gEdpGf%2FVt7cA%3D%3D)","2026-07-10","2026-07-28 10:13 PM IST"
"Software Engineer","DigitalXNode","Fresher &#8211; Software Engineer | Gurugram","Gurugram, Haryana, India","[Apply](https://in.linkedin.com/jobs/view/fresher-%238211-software-engineer-gurugram-at-digitalxnode-4432350778?position=8&pageNum=0&refId=sGXg9Mn9WPWZwQG48omudQ%3D%3D&trackingId=PGhwRvG5l8LKGV5LxSZntw%3D%3D)","2026-07-01","2026-07-28 10:13 PM IST"
"Software Engineer","Win Global PR","Graduate Trainee- Integration Engineer - Merchant Integration","Gurgaon, Haryana, India","[Apply](https://in.linkedin.com/jobs/view/graduate-trainee-integration-engineer-merchant-integration-at-win-global-pr-4442353611?position=33&pageNum=0&refId=sGXg9Mn9WPWZwQG48omudQ%3D%3D&trackingId=4WtJVZDwQ63jLz8Jw9OZsA%3D%3D)","2026-07-01","2026-07-28 10:13 PM IST"
