"Role","Company","Title","Location","Link","Date Posted","Added At"
"Software Engineer","Monotype","Software Engineer Trainee","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/software-engineer-trainee-at-monotype-4443492919?position=3&pageNum=0&refId=Bx050%2Bv%2FEoq28SRbPq7n0w%3D%3D&trackingId=7HaxfTOs%2FVHFxGSM6AXV6A%3D%3D)","2026-07-23","2026-07-26 02:26 AM IST"
"Software Engineer","Monotype","Software Engineer Trainee","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/software-engineer-trainee-at-monotype-4443810802?position=4&pageNum=0&refId=Bx050%2Bv%2FEoq28SRbPq7n0w%3D%3D&trackingId=ZtZz9Ibz0ewKBOo15dIPLg%3D%3D)","2026-07-23","2026-07-26 02:26 AM IST"
"Software Engineer","16 Alpha","Software Engineer Intern","New Delhi, Delhi, India","[Apply](https://in.linkedin.com/jobs/view/software-engineer-intern-at-16-alpha-4442987544?position=12&pageNum=0&refId=Bx050%2Bv%2FEoq28SRbPq7n0w%3D%3D&trackingId=5sWyqrz%2FcxsEkbB7DTyGZw%3D%3D)","2026-07-22","2026-07-26 02:26 AM IST"
"Software Engineer","Samin TekMindz","Fresher's Hiring","Noida, Uttar Pradesh, India","[Apply](https://in.linkedin.com/jobs/view/fresher-s-hiring-at-samin-tekmindz-4438371227?position=11&pageNum=0&refId=Bx050%2Bv%2FEoq28SRbPq7n0w%3D%3D&trackingId=dpNGI3iIBJGZYNDn%2BqtUqw%3D%3D)","2026-07-10","2026-07-26 02:26 AM IST"
"Software Engineer","DigitalXNode","Fresher &#8211; Software Engineer | Gurugram","Gurugram, Haryana, India","[Apply](https://in.linkedin.com/jobs/view/fresher-%238211-software-engineer-gurugram-at-digitalxnode-4432350778?position=7&pageNum=0&refId=Bx050%2Bv%2FEoq28SRbPq7n0w%3D%3D&trackingId=X5K2wUdLEoPQJ%2FtN6lGF1g%3D%3D)","2026-07-01","2026-07-26 02:26 AM IST"
